date,askingPrice,revenueMultiple,listingHeadline,listingType,totalRevenueAnnual,totalProfitAnnual,totalGrowthAnnual,location,dateFounded,team,about,revenue,customers,keywords,annualProfit,growthAnnual,techStack,businessModel,competitors,weeklyViews
2022-12-12,2400000,3.0,High-touch customized warehouse management solutions for 3PLs and standalone warehouses,platinum,800000,200000,1.0,United Kingdom,1993-01-01,8,"Profitable SaaS with $800,000 in TTM revenue and $200,000 in TTM Net profit that offers fast and modern solutions on a modular basis, ensuring you have the right fit for your operation. It partners with you to create an ongoing development path that will support your company’s ever-changing logistics needs. Its unique blend of skills in logistics and in software development provides a practical approach to your warehousing needs. Identifying areas for improvements to save money, maximize profits, control costs, and improve your logistic processes.

✅ $800,000 in TTM revenue
✅ $200,000 in TTM profit
✅ $120,000 in revenue last month
✅ $90,000 in profit last month
✅ Competitors: Mintsoft, InforWMS etc",800000.0,10-100,"best inventory management software, Bespoke wms solution, Highly customisable wms, inventory and warehouse management, inventory management software, inventory management system, inventory system software, inventory tracking software, inventory tracking system, logistics management software, logistics management systems, stock management software, warehouse inventory management software, warehouse management software, warehouse management system, warehouse management systems uk, warehouse software systems, warehouse stock management system",200000,1.0,"Platform Tech stack
C#
.Net
VO
ADS Database
PHP","The business model is B2B, focussed on 3PLs and standalone warehouses. Pricing over the year have been driven in a more SaaS-driven approach is as follows:

Tiers:
Bronze: $1,999 (Up to 5 users)
Silver: $5,999 (Up to 25 users)
Gold: $14,999 (Up to 50 users)","['Mintsoft', 'InforWMS', 'Oracle Fusion Cloud Warehouse Management', 'Indigo Warehousing Management Software Solutions', 'Korber HighJump Warehouse Advantage', 'Manhattan Associates Warehouse']",127
2022-12-02,1000000,4.2,Low-code app/platform for building and tenant management tools,premium,240000,0,25.0,United Kingdom,2017-06-01,5,"SaaS low code app with $240,000 in TTM revenue that delivers engagement-focused apps to property, workforce, community organizations, and retail. Raised over £2,500,000, but has failed to scale against investment expectations. Multi-Sector scale-up potential.

✅ $240,000 in TTM revenue
✅ $30,000 in revenue last month
✅ Competitors: Spike global, Bubble.io, Poq
",250000.0,10-100,"Low code, Mobile Apps",0,25.0,"Front End: React
Backend:  Java + Open API layer, AWS, Firebase","Customers are configured a branded mobile app. Pricing includes:

- Set up cost (typically starting at $15,000)
- Licence fee covering usage, hosting, support and updates (typically starting at $2000)","['Spike global', 'Bubble.io', 'Poq']",4
2022-11-29,3500000,5.4,Digital freight and logistics management software,platinum,650000,110000,100.0,United States,2018-04-01,5,"Profitable SaaS with $650,000 in TTM revenue and $110,000 in TTM profit that is a single centralised platform with multiple applications synchronised for all parties involved in the supply chain, Global Transportation Management System (TMS) that supports all modes of transportation.

✅ $650,000 in TTM revenue
✅ $110,000 in TTM profit
✅ $55,000 in revenue last month
✅ $9,000 in profit last month
✅ Competitors: Decartes, Bringg, Fareye, Convoy

The TMS Software enables shippers, third-party logistics providers (3PLs), Freight brokers, freight forwarders, retailers the ability to procure, plan, optimize, execute, and settle their cargo movements with full control-dispatcher visibility.",650000.0,10-100,"Transport management, supply chain management, digital freight network ",110000,100.0,MEAN stack,"1.Subscription per truck license - model 
2. Per shipment model ","['Decartes', 'Bringg', 'Fareye', 'Convoy']",38
2022-11-25,1500000,2.0,"SE Asia eComm tech & services for global brands, agencies, and marketplace with $768,000 TTM Revenue",platinum,746182,-116751,100.0,United States,2018-11-01,38,"SaaS with $768,000 in TTM revenue and $78,000 in revenue last month that features a Data/Analytics, & offshore eCommerce Services provider. This business is primed for growth with a leading marketplace eCommerce analytics platform (built by a Google engineer) & a high-quality, low-cost operating team in Philippines, the business had strong profitability (25%+ SDE), but the owners invested heavily in 2023 into building a custom data/analytics platform for tier-1/tier-2 brand clients. 

✅ $768,000 in TTM revenue
✅ $78,000 in revenue last month
✅ $18,000 in profit last month
✅ Competitors: Edge by Ascential, Profitero, GroupM, Publicis",650000.0,100-1000,"eCommerce SAAS, eCommerce Data, eCommerce Analytics, Philippines, Southeast Asia, SE Asia, Lazada, Shopee, Amazon",-116751,100.0,"The primary cloud service utilized is Google Cloud, with AWS serving as a disaster recovery solution. The applications are deployed within Google Kubernetes Engine (GKE) environment.  The applications are primarily written in Ruby on Rails. Additionally, Python is employed to a lesser extent. Security and developer experience are key in the architecture, with a focus on implementing security measures and optimizing the development process. Automation plays a crucial role with Continuous Integration and Continuous Deployment (CICD) practices extensively employed. DevSecOps principles are ingrained in the architecture, promoting automation and integration between development, operations, and security.","The three core products include 1) Enterprise Analytics SAAS (Insight360) - $1,000-$5,000 per month, targeting tier-1 & tier-2 brands. 2) SME SAAS - whitelabel $90,000/year current revenue via agencies & $100-$200/month for SMEs. 3) eCommerce Services - $1,000-$10,000 monthly retainer for eCommerce data/analytics and management (paid ads, SEO/CRO).","['Edge by Ascential', 'Profitero', 'GroupM', 'Publicis']",1
2022-11-16,1600000,1.2,Community management platform for financial trading & crypto communities,platinum,1300000,100000,4.0,United States,2018-03-01,2,"Profitable SaaS with $1,300,000 in TTM revenue and $100,000 in TTM profit, offering the best community management platform for financial communities. By providing a built-in billing and subscription mechanism, it streamlines this problematic subscription process and keeps a % revenue split on transactions. Users on the platform can purchase access directly from within the platform or from checkout links embedded into team creators' websites.

✅ $1,300,000 in TTM revenue
✅ $100,000 in TTM profit
✅ $32,000 in revenue last month
✅ $3,000 in profit last month
✅ Competitors: Stocktwits, Discord, Symphony, Commonstock

What most communication platforms and tools fail to deliver, is the ability to offer users pay-to-access chatrooms and services without requiring effort from the team owners, such as integrating third-party services, and payment processors. This is where this tool shines.",100000.0,10-100,"SaaS, Fintech, Communication Platform, Community Management, Trading / Investing, Personal Finance",100000,4.0,".NET, Angular, NodeJS, Ionic with microservices architecture.",SaaS and Revenue Sharing. Ability to add additional revenue streams (in platform marketplace),"['Stocktwits', 'Discord', 'Symphony', 'Commonstock', 'Darqube', 'Pelican Trading', 'Atom Finance', 'Currensee Global']",5
2022-11-15,1500000,1.8,"Platform for businesses to build community, loyalty, rewards perks, & more",platinum,830000,25000,20.0,Australia,2008-01-01,4,"SaaS with $360,000 in ARR and $830,000 in TTM revenue that drives network growth through leveraging social, gamification, and loyalty concepts. Its mission is to help businesses engage customers to build loyalty, engagement, and fandom. It provides all the building blocks as a result of 10 years of R&D.  

✅ $830,000 in TTM revenue
✅ $25,000 in TTM profit
✅ $50,000 in revenue last month
✅ Tech: AWS, MySQL, Node.JS, PHP
✅ Competitors: Monterosa, Yinzcam

",360000.0,10-100,"Sport, entertainment and media. , Global opp.",25000,20.0,"AWS, MySQL, Node.JS, PHP","B2B charging monthly subscription and additional transaction fees for payments, messaging. Could be evolved to full usage based model on API consumption.","['Monterosa', 'Yinzcam']",6
2022-11-15,1500000,0.4,Platform for connecting retail traders with funds and brokers,platinum,3346152,975972,100.0,Canada,2020-11-01,3,"Profitable SaaS with CA$3,346,152 M in TTM revenue and CA$975,972 in TTM profit is a well automated platform business connecting retail traders to funds and brokers.The business makes money by charging a one-time fee for connecting traders to funds and brokers.The technology stack is built on Mern Stack, and software updates/maintenance are handled by a CTO and 2 junior devs. 

✅ CA$3,346,152 in TTM revenue
✅ CA$975,972 in TTM profit
✅ CA$134,576 in revenue last month
✅ CA$29,431 in profit last month
✅ Competitors: Multiple mobile apps

We have made an in-house discount token called TCT - it's what mainly grew our growth. Users could play games in our ecosystem to gain them and use them in our eco shop for perks as well as burn them for discounts. This has positioned the brand also to be able one day launch this on an exchange as a utility token. 
",3346152.0,more than 100000,"Trading,  Education Platform, Forex, Crypto, Stocks, Financial Education, Finance",975972,100.0," Mern Stack, CTO ",The business makes money by charging a one-time fee for connecting traders to funds and brokers.,['Trading Education Platforms'],34
2022-11-15,9000000,6.4,"Leading privacy, risk, and compliance SaaS for companies",platinum,1410000,475000,15.0,United States,2013-05-01,7,"Profitable SaaS with $1,400,000 in TTM revenue and in $475,000 TTM profit  that offers a platform for helping organizations manage HIPAA, GDPR, CCPA, and more. Compliance with privacy laws has always been complicated, confusing, and time-consuming but as more laws and regulations have been added over the years the platform has continued to build tools to help companies simplify this process.

✅ $1,400,000 in TTM revenue
✅ $475,000 in TTM profit
✅ $138,000 in revenue last month
✅ $16,000 in profit last month
✅ Competitors: Vanta, Secureframe, Drata, Tugboat Logic, Compliancy Group",1384000.0,100-1000,"compliance, saas, healthcare, b2b",475000,15.0,"Ruby on rails, javascript, heroku, AWS",SaaS annual and monthly subscription pricing with plans starting at $399/month and increasing for enterprise customers.,"['Vanta', 'Secureframe', 'Drata', 'Tugboat Logic', 'Compliancy Group']",15
2022-11-14,3500000,5.4,"Analyze data, build data models, and automate workflows with the power of AI.",platinum,650000,500000,22.0,United States,2017-02-01,11,"A SaaS platform designed for simplicity, enabling non-technical users to address all their analytics needs. From basic to advanced analytics, our Natural Language Tool has you covered. Additionally, we offer end-to-end data workflow management, making it an exceptionally flexible solution.

✅ $720,000 in ARR
✅ 82% Gross Margin
✅ 20% user growth vs last month
✅ Raised $5,000,000 from business angels",744000.0,10-100,"Analytics, Data Science, Data Workflows, Data Pipelines, AI",500000,22.0,"GCP, Python, React.",SaaS,"['Google Looker', 'Amplitude', 'Data Studio']",16
2022-11-11,3800000,5.8,SaaS tool designed to help doctors attract and retain patients. ,platinum,659000,350000,317.0,Spain,2018-02-01,9,"Profitable SaaS with $659,000 in TTM revenue and $350,000 in TTM profit is a software tool aimed at promoting the generation and management of patients for doctors and clinics. This company’s mission is to help medical specialists thrive in today's digital world, by assisting in the onboarding and retention of new digitally native patients. This company’s  product is a SaaS platform covering a suite of e-commerce, customer tracking and sales and marketing tools fully customized for the Healthcare sector.

✅ $659,000 in TTM revenue
✅ $350,000 in TTM profit
✅ $20,000 in revenue last month
✅ $5,000 in profit last month
✅ Competitors: Nexhealth, Patientpop,Topdoctors, Doctoralia

This company started by identifying a huge problem with a must-have solution within a massive market that had no winners and high fragmentation. This company’s go-to-market is very simple, since we build software and market it. At the moment, we only sell in Spain and the value proposition is based on patient qualification, together with an array of ancillary products as well as on being the platform that provides and collects the most data from both patient and doctor, allowing for a more precise matching system, thus driving above industry average satisfaction ratios. 
",300000.0,100-1000,"Spain, Healthtech, Saas, Health",350000,317.0,"AWS, Symfony and Vue","B2B SaaS charging a monthly recurring fee on one single pricing tier: €100 p/m.
We also charge a variable take rate from each discharged patient's treatment (on average 15%)","['Nexhealth', 'Patientpop', 'Topdoctors', 'Doctoralia']",19
2022-10-20,4500000,1.9,Consumer credit & dispute management platform for increasing scores,platinum,2400000,0,15.0,United States,2018-01-01,12,"SaaS with $2,400,000 in TTM revenue and $210,000 in revenue last month that provides consumers an easy-to-use interface to handle all aspects of Credit Dispute management including reviewing credit scores and reports, disputing and resolving inaccuracies, as well as monitoring and protecting credit data. 

✅ $2,400,000 in TTM revenue
✅ $210,000 in revenue last month
✅ Bootstrapped
✅ Tech: Javascript, React, Node.js, Heroku, AWS 
✅ Competitors: Creditrepaircloud, Scoreceo, Disputesuite

The solution is sold as a three-tier offering primarily through telesales and direct online purchases. In addition to the core credit repair services, the portal offers consumers other credit-related products that are synergistic and helpful in improving their creditworthiness.",0.0,1000-10000,"Credit Repair, Credit Management,  Consumer Finance, Personal Credit Management",0,15.0,"Javascript, React, Node.js, Heroku, AWS ",B2C with 3 tiered pricing model. LTV from $30-$550.,"['Creditrepaircloud', 'Scoreceo', 'Disputesuite']",8
2022-10-18,3600000,6.0,Incredibly Efficient Data and Storage Enablement Platform,platinum,600000,350000,100.0,United States,2021-10-01,5,"Profitable SaaS with $600,000 in TTM revenue and $350,000 in TTM profit that delivers API driven high-performant data and storage management tools that natively connect with AWS S3, Azure, GCP, Wasabi, Storj and over 45 cloud and on-premise storage services. 

✅ $600,000 in TTM revenue
✅ $350,000 in TTM profit
✅ $55,000 in revenue last month
✅ $30,000 in profit last month
✅ Private Financing of $300,000 
✅ Competitors: ​MSP360, Movebot, Flexify, LucidLink, DryvIQ

We empower data storage customers of all sizes to move between providers more cost efficiently than ever. Drag and drop your 50 terabytes or 2 petabytes between one provider to another with complete assurance that no object is ever left behind. ",600000.0,10-100,"Data management, Backup, Cloud Storage, Data Migration, Cloud to cloud migration, Cloud NAS, AI, Machine Learning",350000,100.0,".Net framework
.Net Core
React js","Licensing for Storage Providers & MSP Partners
Subscription and SaaS pricing for end users
","['www.MSP360.com', 'www.movebot.io', 'www.flexify.io', 'www.lucidlink.com', 'https://dryviq.com/']",8
2022-10-18,1200000,7.1,"Generate more revenue for dispensaries via abandoned carts, inactive customers and Google reviews.",premium,170000,140,9000.0,United States,2021-03-01,2,"Profitable SaaS with $170,000 in TTM revenue and $140,000 in TTM profit that is a marketing and retail automation tool for cannabis dispensaries that works with the Dutchie & I Heart Jane ordering system. The tool automates the process of retargeting customers who have either abandoned shopping carts or haven't ordered for a period of time as well as to generate Google Reviews. 

✅ $170,000 in TTM revenue
✅ $140,000 in TTM profit 
✅ $20,000 in revenue last month
✅ $18,000 in profit last month
✅ Competitors: Alpine IQ",240000.0,10-100,"Cannabis, automation, marketing, SaaS",140,9000.0,"AWS, SendGrid","SaaS, we take 5% of recovered revenue from the tool per month.","['Alpine IQ - Loyalty-based only, we target all menu subscribers']",2
2022-10-18,5000000,6.4,Digital concierge solution provider allowing its users to outsource their day-to-day chores,platinum,776092,0,66.0,France,2015-06-01,6,"SaaS with $824,000 in TTM revenue and $65,000 in revenue last month that offers a fully digitized B2B2C solution helping companies promote their employee's well being (Corporate Concierge) and improve customer retention (Brand Concierge). 

✅ $824,000 in TTM revenue
✅ $65,000 in revenue last month
✅ 300K of Debt
✅ Competitors: Circles / Sodexo, John Paul/Accor, One Consciergerie",1120000.0,10000-100000,Corporate wellness,0,66.0,"PHP, NodeJS, MySQL, Firebase, VueJS, WordPress, Docker","We are in B2B2C 66 companies, 70,000 subscriptions, at 1 to 3EUR / month / subscription","['Circles / Sodexo', 'John Paul/Accor', 'One Consciergerie']",6
2022-10-17,8000000,3.0,Website and online marketing platform for realtors,platinum,2686402,257227,4.0,Canada,2014-05-01,22,"SaaS with $2,040,767 in TTM revenue that provides online marketing services for real estate agents across Canada and in select US markets. It leverages its in-house built technology to deliver an agency-like experience to its clients at an accessible monthly cost. It currently serves 1,100+ clients with 99.9% recurring revenues.

✅ $2,040,767 in TTM revenue
✅ $167,584 in revenue last month
✅ $34,076 in profit last month
✅ Tech: Laravel (PHP), React (JS), MariaDB, WordPress, Redis

**NOTE Figures shown in P&L Summary via connection to XERO are in CAD. Remaining figured on listing have been converted to USD**",2039422.0,1000-10000,"Real-estate, Real-estate tech, martech, Marketing tech",257227,4.0,"Laravel (PHP), React (JS), MariaDB, WordPress, Redis
","We structure our pricing across three main packages (two hidden packages also exist as save-tools). Pricing ranges from $179/$189 (annual/monthly) to $429/$459. There is also an addition setup fee and we take a small percentage cut of the ad budget we manage on behalf of our clients.

Our revenue is almost entirely (99.9%) recurring.

We charge the same dollar figure to US clients as CAN clients.","['Range of national/local competitors E.g. Realty Ninja, Real Estate Webmasters']",30
2022-10-17,3500000,5.8,Automated data capture from complex and varying layout documents,platinum,600000,510000,25.0,United States,2013-08-01,5,"Profitable SaaS with $600,000 in TTM revenue and $510,000 in TTM profit that provides a powerful yet easy to use tool to automate data entry. The tool’s unique technology is able to capture data from complex and varying layout documents without the need to configure it on every single layout. As a result, an accurate and custom-tailored data capture model can be delivered to the end user in a matter of hours and at a small fraction of cost compared to typical consulting services who would offer similar service.

✅ $600,000 in TTM revenue
✅ $510,000 in TTM profit
✅ $50,000 in revenue last month
✅ $43,000 in profit last month
✅ Competitors: AWS Textract, ABBY FlexiCapture, Hyperscience, Butler Labs

Example use cases are medical claims, patient encounters, real estate deeds and court records.",600000.0,10-100,"document intelligence, document ai, data extraction, data capture, document automation, Saas, Healthcare, insurance, united states, US",510000,25.0,"AWS for hosting the service
Java: Actual proprietary document processing technology 
Angular: Frond End (Web based) app
There is also an Excel 365 Add-on ","Subscription based plus one-time configuration charges. We also offer custom consulting if requested.
Usage based: 1c to 10c per page based on volume
One-time setup fee: $95 per output column

Deep customization and integrations: $110-$200/hour","['AWS textract', 'Abbyy flexicapture', 'Hyperscience', 'Butlerlabs']",17
2022-10-03,11000000,2.2,"Healthcare IT automation focused on data abstraction, analytics, & auditing",platinum,4900000,2300000,17.0,United States,2018-05-01,30,"Profitable SaaS with $4,900,000 in TTM revenue and $2,300,000 in TTM profit that focuses on data abstraction, data auditing, analytics, warehousing, claims processing, and robotic process automation. In the private sector (over 100 hospital systems and medical associations), data abstraction is performed for hospital systems and medical associations in the cardiovascular, surgical, transplant, and cancer sectors. 

✅ $4,900,000 in TTM revenue
✅ $2,300,000 in TTM profit
✅ $475,000  in revenue last month
✅ $183,333 in profit last month
✅ Competitors: Q-Centrix

Robotic process automation services are provided to small to large healthcare systems with IP in claims processing and Electronic Medical Record automation solutions in USA and Canada.",5700000.0,10-100,"Healthcare, healthcare automation, automation, data analytics, data warehousing, data auditing, government, data abstraction",2300000,17.0,"SQL, RPA tools are built on UIPath","When patients have heart attacks, heart failure, stroke, and surgeries, there are over 200-450 data elements that need to be uploaded into data registries and these hospital systems will receive star ratings.  Value-based care metrics such as these are how these hospital systems will get paid.  We have created assess based on a tool that we use across 32 different registries and some registries for these hospitals and's associations.  We have also built out robotic process automation electronic medical record tools to automate different workflows.

We will go after difficult-to-get clients with significant moat and triple AAA revenue.

We charge based on a per case rate or an hourly rate.",['Q-centrix'],37
2022-10-03,10800000,5.0,An enterprise software solutions company specializes in AI and cloud Healthcare/Recruiting solutions,platinum,2160000,325000,450.0,United States,2019-04-01,7,"Profitable SaaS with $2,160,000 in TTM revenue and $325,000 in TTM profit that specializes in creating AI and cloud-based enterprise solutions for small and medium-sized businesses to Fortune 500 companies. Its driving mission is to foster human connections and business partnerships by integrating all facets of technology within an organization to create sustainable and efficient solutions.

✅ $2,160,000 in TTM revenue
✅ $325,000 in TTM profit
✅ $185,000 in revenue last month
✅ $36,000 in profit last month
✅ Competitors: Oracle, Workday, Salesforce, SAP

The company’s track record of blending people, IT, applications, and business objectives through its technology software development skills is evident in its client list, which includes the State of California, Kaiser Permanente, General Motors, Robert Half, Ricoh Electronics, and many more.",3114000.0,10-100,Enterprise ERP CRM Front Office Recruiting Healthcare ,325000,450.0,AWS and Azure clouds,SaaS plus implementation and integrations,"['Oracle', 'Workday', 'Salesforce ', 'SAP']",10
2022-09-17,1200000,6.3,Automated Workforce Planning tool for SME's,premium,190000,0,20.0,Austria,2018-02-01,3,"SaaS with $190,000 in TTM revenue and $10,000 in revenue last month that offers a mobile interface for employees and provides an open API that allows third party applications to use the core calculation engine also from outside. This allows us to optimize rosters according to the tenants optimization requirements. Rules (yes/no) and Strategies (best fit) can be defined individually via a modern UI.

✅ $190,000 in TTM revenue
✅ $10,000 in revenue last month
✅ Tech Stack: Kotlin, Spring, Angular
✅ Competitors: Legion, When I Work, Deputy, UKG, Workforce Software",130000.0,10-100,workforce optimization ,0,20.0,"Kotlin, Spring, Angular","SaaS, price6.5€/ User/ Month","['https://legion.co/', 'https://wheniwork.com/', 'https://www.deputy.com/', 'https://www.ukg.com/', 'https://www.workforcesoftware.com/']",0
2022-08-31,1000000,5.7,Tool that help Travel Agencies grow online,premium,175000,25000,25.0,United Kingdom,2017-09-01,7,"Profitable SaaS with $175,000 in TTM revenue and $25,000 in TTM profit, that offers a travel technology firm, helping small and medium sized travel agencies have online booking engine and grow.

✅ $175,000 in TTM revenue
✅ $25,000 in TTM profit
✅ $9,000 in revenue last month
✅ $2,500 in profit last month
✅ Competitors: Vibe.travel, Web.travel",175000.0,10-100,"Travel booking software, Online booking engine",25000,25.0,"ASP.Net MFC, CSS, Javascript, Bootstrap, .NET Core, WCF, SQL server","Our business model is, that we charge a setup fee of a minimum of $2500 and a monthly subscription fee of $89.","['Vibe.travel', 'Web.travel']",5
2022-08-25,1200000,6.2,B2B prospecting data provider for highly-targeted prospect lists,premium,193700,125450,3012.0,United Kingdom,2021-05-01,2,"Profitable SaaS with $240,000 in ARR and $167,000 in TTM revenue that provides data to small-medium digital & lead generation agencies. It combines proprietary technology with on-demand human research to build highly targeted prospect lists for your business.

✅ $167,000 in TTM revenue
✅ $100,100 in TTM profit
✅ $22,550 in revenue last month
✅ $14,657 in profit last month
✅ Competitors: Uplead, Lusha, Apollo, Seamless",240000.0,100-1000,"b2b, sales, prospecting",125450,3012.0,"Python, Node JS, React, AWS, Heroku","We sell 3 plans (between $99 and $599/month). Depending on the plan, users are issued credits on a monthly basis. With these credits they can request prospect lists for their lead generation activities. We then use our in-house scraping tools to identify their target businesses, and assign the list to our team of researchers who manually hunt down the contact details for each prospect.

Our margins are approximately 65%.","['Uplead', 'Lusha', 'Apollo.io', 'Seamless.ai']",8
2022-08-19,3000000,4.0,Sports fans mobile engagement platform leader in Europe ,platinum,750000,0,76.0,France,2017-03-01,10,"SaaS with $750,000 in TTM revenue and $675,000 in annual recurring revenue that offers a white label mobile fan engagement platform to professional sports teams as a subscription model. We have the most competitive offer on the market today. We are at the center of all interactions between the fans and the team ecosystem. 

✅ $750,000 in TTM revenue
✅ $675,000 in annual recurring revenue
✅ Raised 875,000 Euros and have 337,000 Euros in debt
✅ Competitors: Origins Digital, Yinzcam, InCrowd, Livestyled

We capture the data, usage and we gamified the fan mobile experience through in-app games. Teams can ROI by selling ad spaces to partners. ",675000.0,10-100,"sport, mobile application, fan engagement, b2b, b2c, cms, saas, france",0,76.0,"We run on AWS and Firebase. 

We have multiple automation pipelines that allow us to deliver apps in minutes using Fastlane. 

We are using the latest serverless technologies on AWS so we have very little operational work to absorb the spiky traffic of nearly 300k monthly active users. They key success of our business is this very small operational cost to run and manage the hundreds of mobile applications and backend operations. Our monthly AWS bill is less than $3000 today.

We only manage two servers as of today which are the web servers for the CMS platform accessible only by the teams' administrators. The API serving the mobile applications is fully serverless using API Gateway and Lambda functions. We also use DynamoDB and OpenSearch as databases. 

For scheduled jobs and backend processes we run on Fargate and Fargate SPOT to reduce cost. 

CTO is a certified AWS Professional Solution Architect.","It provides a white-label mobile fan engagement platform to professional sports teams. We offer the most competitive prices for sport mobile applications. We target pro teams of all sizes and not only the bigger budgets like our competition. Our goal is to be in the pockets of all the sports fans worldwide and become the largest sports fans database in the world. 


We are a Sass business and pro team pay us a yearly subscription. In return we provide 2 native mobile applications (ios and Android) at the name and color of the team and multiple backend tools to engage with their fans, partners, sponsors and more. It's a CMS like wordpress but for sport native mobile apps. We've gamified the fan experience with a loyalty program for the fans and include partners.

We integrate with the sport ecosystem like stats APIs, CRMs, mailing lists, SSO, social media platforms like YouTube, Twitch, Instagram, Twitter and more. We are at the center of all interactions between the fans and the team as all third party services integrate our ecosystem and our mobile applications. We handle the fans identity and capture their behaviors with respect of privacy by being GDPR compliant and following Google and Apple policies to the letter.

We take care of the heavy lifting by dealing with Apple and Google on our customers behalf and provide constant application updates which is a big differentiator in the market. As a result the mobile applications evolve over time to support new OS version, features and compliance requirements from Google and Apple. Our competitors deliver a mobile apps that are frozen in time and bill customers for evolutions and code changes. 

When it come to pricing, we have a modular approach with a core package that provides most essential features. Advanced modules like segmentation, raffles, business clubs, SSO and others can be unlocked for extra cash. Most deals are signed over 3 years contract. We also charge for specific integration developments with third parties. To date we have 0% churn.

Teams can sell ad space in-app to their partners alloying them to quickly ROI on their subscription cost by selling a new digital advertisement spaces in-app. This is a key selling point as most customer can break even each year, some are profiting from the platform. It doesn't monetize the ads placement to date.

","['Yinzcam', 'Origins-Digital', 'InCrowd', 'Livestyled']",5
2022-08-12,1825000,5.5,Achieve Business Results with People Insights,platinum,330000,0,101.0,United States,2019-12-01,5,"SaaS with $336,000 in ARR and $330,000 in TTM revenue that helps create the Human Experience at work, via targeted texts. It drives business results by helping organizations to listen, engage, take action, and measure progress daily. It helps organizations become employers of choice as they become Human Experience certified and qualify for The Human Experience at Work Awards.

✅ $330,000 in TTM revenue
✅ $35,618 in revenue last month
✅ Bootstrapped
✅ Tech: Ruby on Rails, My SQL
✅ Competitors: Qualtrics, Culture AMP",336000.0,10-100,"employee engagement, Human experience, employee surveys, SaaS",0,101.0,"Ruby on Rails, My SQL","$2 - $6 PEPM, Fees adjusted according to enterprise size   Could increase to $10 as number of clients increase","['Qualtrics', 'Culture AMP']",2
2022-08-10,4000000,8.0,"All-in-one eMental Health solution for psychotherapists, and psychology centers. ",platinum,500000,275,250.0,Estonia,2020-09-01,30,"SaaS with $500,000 in TTM revenue and $275,000 in TTM profit that offers a platform that has all features needed to manage online counseling sessions. Some main features are being secure HIPAA compliant, having secure online video meeting system, having secure mental health records system including self reports, psychoanalysis tests, peer to peer chat, and etc.

✅ $500,000 in TTM revenue
✅ $275,000 in TTM profit
✅ $40,000 in revenue last month
✅ $22,000 in profit last month
✅ Competitors: Betterhelp",500000.0,1000-10000,"video meeting, electronic medical health records, digital health",275,250.0,"React native, AWS, Firebase, secure video meetings, PHP Laravel",SaaS,['Betterhelp'],5
2022-08-09,2200000,5.0,Innovative cybersecurity firm that sells patented hardware security keys.,platinum,437305,240283,76.0,United States,2016-02-01,3,"Profitable SaaS with $437,305 in TTM revenue and $240,283 in TTM profit that is dedicated to innovating cybersecurity solutions to protect individuals and businesses from cybersecurity attacks and breaches. Its innovative product is a patented, proven hardware security key available at multiple online sales channels. With no single solution available to address all of a business’s authentication needs, organizations are left with a fragmented Identity Access Management (IAM) infrastructure. 

✅ $437,305 in TTM revenue
✅ $240,283 in TTM profit
✅ Competitors: Yubico, Feitian

It closes the enterprise gap in IAM solutions. As a result, It has become a leading authentication/password management solution. The business is based in North Carolina.",0.0,1000-10000,"OnlyKey, OnlyKey DUO, CryptoTrust, FIDO2, Hardware Password Manager, Hardware Security Key",240283,76.0,"It is a physical hardware product, a USB security key. It has many features and is in a class of its own as the only security key that manages both passwords and multi-factor authentication for multiple accounts on one device. It is user configurable using a cross-platform application available on Windows, Mac OS, Linux, and Chrome OS. Additionally, it has a web application and local agent that is used by developers and IT users for things like secure Git commits and SSH connections. ","The company and the product have always been a cash positive business making a profit since inception in 2016. The business strategy has been one of slow steady growth using user feedback to drive new features that appeal to the widest audience of users. This has yielded a successful and popular product that is now used in over 50 countries. It is now a stable product with many growth opportunities but in order to fully capture these opportunities the resources of a larger company are needed.
","['Yubico', 'Feitian']",10
2022-08-08,1600000,2.8,CRM and Compliance Platform for Maritime Administrations ,platinum,565000,250000,48.0,United Kingdom,2013-04-01,5,"Profitable SaaS with $565,000 in TTM revenue and $250,000 in TTM profit that enables Flag States to fully comply with the broad spectrum of international conventions and approach mandatory audits without fear. The platform can be deployed on a private cloud or on-premise depending on data jurisdiction requirements.

✅ $565,000 in TTM revenue
✅ $250,000 in TTM profit
✅ $120,000 in revenue last month
✅ $45,000 in profit last month
✅ Competitors: PDMS Maritime, Fulcrum Maritime",565000.0,10-100,"Maritime, Enterprise, Software",250000,48.0,"Ruby on Rails, MySQL, OVH, Azure, GlobalSign","Enterprise SaaS, minimum 3-year contract with monthly or quarterly payments based on client procurement frameworks. Hardware sales for on-premise customers with consulting for deployment, configuration and maintenance. Additional charges for GlobalSign digital certificates and custom API integrations.","['PDMS Maritime', 'Fulcrum Maritime']",8
